HUMAN DATE TIME,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT
Thu Sep 7 13:41:40 2017,58,147,53,53,48
Thu Sep 7 13:41:40 2017,58,147,53,53,48
Thu Sep 7 13:45:40 2017,46,147,53,53,48
Thu Sep 7 13:45:40 2017,46,147,53,53,48
Thu Sep 7 13:49:41 2017,46,136,55,53,48
Thu Sep 7 13:49:41 2017,46,136,55,53,48
Thu Sep 7 13:53:41 2017,46,136,55,52,138
Thu Sep 7 13:53:41 2017,46,136,55,52,138
Thu Sep 7 13:57:41 2017,61,118,48,52,138
Thu Sep 7 13:57:41 2017,61,118,48,52,138
Thu Sep 7 14:01:41 2017,61,118,48,52,76
Thu Sep 7 14:01:41 2017,61,118,48,52,76
Thu Sep 7 14:05:41 2017,58,118,61,40,76
Thu Sep 7 14:05:41 2017,58,118,61,40,76
Thu Sep 7 14:09:42 2017,58,118,61,40,56
Thu Sep 7 14:09:42 2017,58,118,61,40,56
Thu Sep 7 14:13:42 2017,58,118,61,40,56
Thu Sep 7 14:13:42 2017,58,118,61,40,56
Thu Sep 7 14:17:42 2017,43,118,43,40,56
Thu Sep 7 14:17:42 2017,43,118,43,40,56
Thu Sep 7 14:21:43 2017,43,315,43,32,75
Thu Sep 7 14:21:43 2017,43,315,43,32,75
Thu Sep 7 14:25:43 2017,43,315,47,32,75
Thu Sep 7 14:25:43 2017,43,315,47,32,75
Thu Sep 7 14:29:43 2017,55,117,47,32,65
Thu Sep 7 14:29:43 2017,55,117,47,32,65
Thu Sep 7 14:33:43 2017,55,117,47,32,65
Thu Sep 7 14:33:43 2017,55,117,47,32,65
Thu Sep 7 14:37:43 2017,55,117,56,45,65
Thu Sep 7 14:37:43 2017,55,117,56,45,65
Thu Sep 7 14:41:44 2017,54,105,56,45,75
Thu Sep 7 14:41:44 2017,54,105,56,45,75
Thu Sep 7 14:45:44 2017,54,105,56,45,75
Thu Sep 7 14:45:44 2017,54,105,56,45,75
Thu Sep 7 14:49:44 2017,54,105,41,53,84
Thu Sep 7 14:49:44 2017,54,105,41,53,84
Thu Sep 7 14:53:44 2017,200,109,41,53,84
Thu Sep 7 14:53:44 2017,200,109,41,53,84
Thu Sep 7 14:57:44 2017,200,109,41,47,84
Thu Sep 7 14:57:44 2017,200,109,41,47,84
Thu Sep 7 15:01:44 2017,63,113,41,47,81
Thu Sep 7 15:01:44 2017,63,113,41,47,81
Thu Sep 7 15:05:45 2017,63,113,41,47,81
Thu Sep 7 15:05:45 2017,63,113,41,47,81
Thu Sep 7 15:09:45 2017,63,120,51,46,91
Thu Sep 7 15:09:45 2017,63,120,51,46,91
Thu Sep 7 15:13:45 2017,50,120,51,46,91
Thu Sep 7 15:13:45 2017,50,120,51,46,91
Thu Sep 7 15:13:45 2017,50,120,51,46,91
Thu Sep 7 15:13:45 2017,50,120,51,46,91
Thu Sep 7 15:13:45 2017,50,120,51,46,91
Thu Sep 7 15:13:45 2017,50,120,51,46,91
Thu Sep 7 15:25:45 2017,57,123,54,58,111
Thu Sep 7 15:25:45 2017,57,123,54,58,111
Thu Sep 7 15:29:46 2017,57,123,54,64,99
Thu Sep 7 15:29:46 2017,57,123,54,64,99
Thu Sep 7 15:33:46 2017,57,123,54,64,99
Thu Sep 7 15:33:46 2017,57,123,54,64,99
Thu Sep 7 15:37:46 2017,57,123,54,64,99
